Timestamp,Señal con ruido,S2,Coeficientes de aproximación,S4
2025-11-27T17:47:00.739Z,-0.5175999999046326,0.0013000000035390258,-0.11919999867677689,0.005499999970197678
2025-11-27T17:47:00.739Z,-0.3100999891757965,0.004900000058114529,-0.4413999915122986,0.0203000009059906
2025-11-27T17:47:00.749Z,-0.7217000126838684,0.011699999682605267,-0.7143999934196472,0.0019000000320374966
2025-11-27T17:47:00.749Z,-0.513700008392334,-0.08529999852180481,-0.8154000043869019,-0.07720000296831131
2025-11-27T17:47:00.749Z,-0.3061999976634979,-0.367000013589859,-0.7875000238418579,-0.04560000076889992
2025-11-27T17:47:00.752Z,-0.7172999978065491,-0.5360000133514404,-0.6459000110626221,0.2020999938249588
2025-11-27T17:47:00.754Z,-0.5092999935150146,-0.4300000071525574,-0.7003999948501587,-0.23070000112056732
2025-11-27T17:47:00.759Z,-0.3012999892234802,-0.7290999889373779,-0.8083000183105469,0.3077999949455261
2025-11-27T17:47:00.759Z,-0.7124000191688538,-0.22689999639987946,-0.6596999764442444,-0.24420000612735748
2025-11-27T17:47:00.764Z,-0.5044000148773193,-0.6836000084877014,-0.6858000159263611,-0.06350000202655792
2025-11-27T17:47:00.771Z,-0.2969000041484833,-0.5985999703407288,-0.8015000224113464,0.3077000081539154
2025-11-27T17:47:00.771Z,-0.7080000042915344,-0.25929999351501465,-0.6532999873161316,-0.24400000274181366
2025-11-27T17:47:00.775Z,-0.49950000643730164,-0.6632000207901001,-0.6796000003814697,-0.06369999796152115
2025-11-27T17:47:00.775Z,-0.2915000021457672,-0.5957000255584717,-0.794700026512146,0.3077000081539154
2025-11-27T17:47:00.775Z,-0.7026000022888184,-0.2547000050544739,-0.645799994468689,-0.24410000443458557
2025-11-27T17:47:00.779Z,-0.49410000443458557,-0.6588000059127808,-0.6718000173568726,-0.06340000033378601
2025-11-27T17:47:00.783Z,-0.2856000065803528,-0.5907999873161316,-0.7870000004768372,0.3077000081539154
2025-11-27T17:47:00.783Z,-0.6967999935150146,-0.24940000474452972,-0.6377999782562256,-0.2442999929189682
2025-11-27T17:47:00.788Z,-0.48829999566078186,-0.6535000205039978,-0.6635000109672546,-0.06350000202655792
2025-11-27T17:47:00.796Z,-0.2797999978065491,-0.5853999853134155,-0.7785999774932861,0.30790001153945923
2025-11-27T17:47:00.798Z,-0.6904000043869019,-0.243599995970726,-0.6294000148773193,-0.24420000612735748
2025-11-27T17:47:00.799Z,-0.48190000653266907,-0.6474999785423279,-0.654699981212616,-0.06379999965429306
2025-11-27T17:47:00.801Z,-0.2734000086784363,-0.5795999765396118,-0.769599974155426,0.30799999833106995
2025-11-27T17:47:00.801Z,-0.6836000084877014,-0.23759999871253967,-0.6202999949455261,-0.24420000612735748
2025-11-27T17:47:00.804Z,-0.47510001063346863,-0.6413000226020813,-0.6452999711036682,-0.06379999965429306
2025-11-27T17:47:00.809Z,-0.26660001277923584,-0.573199987411499,-0.7598000168800354,0.3077999949455261
2025-11-27T17:47:00.819Z,-0.676800012588501,-0.2312999963760376,-0.6104999780654907,-0.24400000274181366
2025-11-27T17:47:00.819Z,-0.46779999136924744,-0.6345000267028809,-0.6355000138282776,-0.06369999796152115
2025-11-27T17:47:00.821Z,-0.2587999999523163,-0.5662999749183655,-0.7495999932289124,0.3075000047683716
2025-11-27T17:47:00.821Z,-0.6689000129699707,-0.22460000216960907,-0.5996000170707703,-0.24390000104904175
2025-11-27T17:47:00.821Z,-0.46000000834465027,-0.6274999976158142,-0.6244000196456909,-0.06360000371932983
2025-11-27T17:47:00.825Z,-0.25049999356269836,-0.5590000152587891,-0.7383999824523926,0.3077000081539154
2025-11-27T17:47:00.828Z,-0.6606000065803528,-0.2168000042438507,-0.5881999731063843,-0.24410000443458557
2025-11-27T17:47:00.828Z,-0.45170000195503235,-0.6197999715805054,-0.612500011920929,-0.06369999796152115
2025-11-27T17:47:00.835Z,-0.24220000207424164,-0.5511000156402588,-0.7265999913215637,0.30790001153945923
2025-11-27T17:47:00.838Z,-0.6518999934196472,-0.2084999978542328,-0.5763000249862671,-0.24400000274181366
2025-11-27T17:47:00.841Z,-0.44190001487731934,-0.6114000082015991,-0.6000999808311462,-0.06400000303983688
2025-11-27T17:47:00.841Z,-0.23240000009536743,-0.5429999828338623,-0.7131999731063843,0.30790001153945923
2025-11-27T17:47:00.845Z,-0.6420999765396118,-0.20010000467300415,-0.5623000264167786,-0.24390000104904175
2025-11-27T17:47:00.845Z,-0.4325999915599823,-0.6025999784469604,-0.5863000154495239,-0.06379999965429306
2025-11-27T17:47:00.850Z,-0.22310000658035278,-0.53329998254776,-0.6998999714851379,0.30790001153945923
2025-11-27T17:47:00.853Z,-0.6323000192642212,-0.19030000269412994,-0.5491999983787537,-0.2442999929189682
2025-11-27T17:47:00.853Z,-0.42239999771118164,-0.5929999947547913,-0.572700023651123,-0.06360000371932983
