Timestamp,Señal con ruido,Señal filtrada
2025-11-13T16:44:28.305Z,-0.5967000126838684,-0.2768000066280365
2025-11-13T16:44:28.311Z,-0.5454000234603882,-0.3321000039577484
2025-11-13T16:44:28.314Z,-0.5015000104904175,-0.38670000433921814
2025-11-13T16:44:28.321Z,-0.4717000126838684,-0.4390000104904175
2025-11-13T16:44:28.321Z,-0.46000000834465027,-0.48750001192092896
2025-11-13T16:44:28.329Z,-0.4683000147342682,-0.5309000015258789
2025-11-13T16:44:28.333Z,-0.4950999915599823,-0.5679000020027161
2025-11-13T16:44:28.341Z,-0.5356000065803528,-0.5978000164031982
2025-11-13T16:44:28.341Z,-0.5839999914169312,-0.6198999881744385
2025-11-13T16:44:28.345Z,-0.6323000192642212,-0.6341999769210815
2025-11-13T16:44:28.355Z,-0.6729000210762024,-0.6406999826431274
2025-11-13T16:44:28.358Z,-0.6991999745368958,-0.6399000287055969
2025-11-13T16:44:28.361Z,-0.7074999809265137,-0.6327000260353088
2025-11-13T16:44:28.366Z,-0.6952999830245972,-0.620199978351593
2025-11-13T16:44:28.375Z,-0.6650000214576721,-0.6040999889373779
2025-11-13T16:44:28.378Z,-0.6205999851226807,-0.5860000252723694
2025-11-13T16:44:28.382Z,-0.5684000253677368,-0.567799985408783
2025-11-13T16:44:28.388Z,-0.5160999894142151,-0.5511999726295471
2025-11-13T16:44:28.391Z,-0.4717000126838684,-0.5376999974250793
2025-11-13T16:44:28.398Z,-0.4408999979496002,-0.5285999774932861
2025-11-13T16:44:28.404Z,-0.42820000648498535,-0.524399995803833
2025-11-13T16:44:28.407Z,-0.4359999895095825,-0.5250999927520752
2025-11-13T16:44:28.410Z,-0.461899995803833,-0.5302000045776367
2025-11-13T16:44:28.414Z,-0.5015000104904175,-0.5385000109672546
2025-11-13T16:44:28.429Z,-0.548799991607666,-0.5483999848365784
2025-11-13T16:44:28.429Z,-0.5961999893188477,-0.5580999851226807
2025-11-13T16:44:28.432Z,-0.6362000107765198,-0.5654000043869019
2025-11-13T16:44:28.440Z,-0.6615999937057495,-0.5691999793052673
2025-11-13T16:44:28.443Z,-0.6685000061988831,-0.5685999989509583
2025-11-13T16:44:28.447Z,-0.6557999849319458,-0.5633000135421753
2025-11-13T16:44:28.451Z,-0.6244999766349792,-0.553600013256073
2025-11-13T16:44:28.456Z,-0.5785999894142151,-0.5404999852180481
2025-11-13T16:44:28.463Z,-0.5253999829292297,-0.5254999995231628
2025-11-13T16:44:28.468Z,-0.4722000062465668,-0.5103999972343445
2025-11-13T16:44:28.472Z,-0.4262999892234802,-0.49709999561309814
