Timestamp,Señal con ruido,S2,Señal filtrada,S4
2025-12-02T13:04:17.946Z,0.2745000123977661,0.2745000123977661,0,0
2025-12-02T13:04:17.958Z,0.21060000360012054,0.21060000360012054,0,0
2025-12-02T13:04:17.970Z,0.11720000207424164,0.11720000207424164,0,0
2025-12-02T13:04:17.982Z,0.007300000172108412,0.007300000172108412,0,0
2025-12-02T13:04:17.990Z,-0.10369999706745148,-0.10369999706745148,0,0
2025-12-02T13:04:18.002Z,-0.20010000467300415,-0.20010000467300415,0,0
2025-12-02T13:04:18.014Z,-0.26840001344680786,-0.26840001344680786,0,0
2025-12-02T13:04:18.023Z,-0.2989000082015991,-0.2989000082015991,0,0
2025-12-02T13:04:18.035Z,-0.2874000072479248,-0.2874000072479248,0,0
2025-12-02T13:04:18.048Z,-0.23549999296665192,-0.23549999296665192,0,0
2025-12-02T13:04:18.056Z,-0.15049999952316284,-0.15049999952316284,0,0
2025-12-02T13:04:18.068Z,-0.04439999908208847,-0.04439999908208847,0,0
2025-12-02T13:04:18.080Z,0.06790000200271606,0.06790000200271606,0,0
2025-12-02T13:04:18.089Z,0.17080000042915344,0.17080000042915344,0,0
2025-12-02T13:04:18.101Z,0.24959999322891235,0.24959999322891235,0,0
2025-12-02T13:04:18.113Z,0.29339998960494995,0.29339998960494995,0,0
2025-12-02T13:04:18.121Z,0.29589998722076416,0.29589998722076416,0,0
2025-12-02T13:04:18.134Z,0.2678000032901764,0.25679999589920044,0.010999999940395355,0.010999999940395355
2025-12-02T13:04:18.146Z,0.20730000734329224,0.18160000443458557,0.024700000882148743,0.024700000882148743
2025-12-02T13:04:18.155Z,0.12099999934434891,0.08089999854564667,0.03709999844431877,0.03709999844431877
2025-12-02T13:04:18.167Z,0.023000000044703484,-0.031199999153614044,0.048500001430511475,0.048500001430511475
2025-12-02T13:04:18.178Z,-0.07109999656677246,-0.1387999951839447,0.05950000137090683,0.05950000137090683
2025-12-02T13:04:18.191Z,-0.14640000462532043,-0.22699999809265137,0.07029999792575836,0.07029999792575836
2025-12-02T13:04:18.200Z,-0.19059999287128448,-0.2833000123500824,0.08110000193119049,0.08110000193119049
2025-12-02T13:04:18.211Z,-0.19589999318122864,-0.299699991941452,0.09200000017881393,0.09200000017881393
2025-12-02T13:04:18.223Z,-0.1599999964237213,-0.27399998903274536,0.10320000350475311,0.10320000350475311
2025-12-02T13:04:18.234Z,-0.0868000015616417,-0.20990000665187836,0.11429999768733978,0.11429999768733978
2025-12-02T13:04:18.244Z,0.014800000004470348,-0.1160999983549118,0.12520000338554382,0.12520000338554382
2025-12-02T13:04:18.256Z,0.131400004029274,-0.006099999882280827,0.1356000006198883,0.1356000006198883
2025-12-02T13:04:18.265Z,0.2475000023841858,0.10480000078678131,0.14480000734329224,0.14480000734329224
2025-12-02T13:04:18.277Z,0.3474999964237213,0.20090000331401825,0.1525000035762787,0.1525000035762787
2025-12-02T13:04:18.289Z,0.4178999960422516,0.2687999904155731,0.15809999406337738,0.15809999406337738
2025-12-02T13:04:18.298Z,0.4490000009536743,0.29899999499320984,0.1615000069141388,0.1615000069141388
2025-12-02T13:04:18.310Z,0.436599999666214,0.2870999872684479,0.16249999403953552,0.16249999403953552
2025-12-02T13:04:18.322Z,0.3824000060558319,0.23479999601840973,0.16120000183582306,0.16120000183582306
2025-12-02T13:04:18.330Z,0.2937999963760376,0.14959999918937683,0.15790000557899475,0.15790000557899475
2025-12-02T13:04:18.342Z,0.1826999932527542,0.043299999088048935,0.15279999375343323,0.15279999375343323
2025-12-02T13:04:18.355Z,0.0640999972820282,-0.06909999996423721,0.1460999995470047,0.1460999995470047
2025-12-02T13:04:18.368Z,-0.04600000008940697,-0.17180000245571136,0.13809999823570251,0.13809999823570251
2025-12-02T13:04:18.375Z,-0.133200004696846,-0.25029999017715454,0.12880000472068787,0.12880000472068787
2025-12-02T13:04:18.387Z,-0.18629999458789825,-0.2935999929904938,0.1185000017285347,0.1185000017285347
2025-12-02T13:04:18.401Z,-0.19920000433921814,-0.2957000136375427,0.10740000009536743,0.10740000009536743
2025-12-02T13:04:18.408Z,-0.17149999737739563,-0.25619998574256897,0.09560000151395798,0.09560000151395798
2025-12-02T13:04:18.420Z,-0.10859999805688858,-0.18070000410079956,0.08330000191926956,0.08330000191926956
2025-12-02T13:04:18.434Z,-0.0210999995470047,-0.07980000227689743,0.0706000030040741,0.0706000030040741
2025-12-02T13:04:18.441Z,0.0771000012755394,0.03229999914765358,0.057500001043081284,0.057500001043081284
2025-12-02T13:04:18.455Z,0.1703999936580658,0.13989999890327454,0.04390000179409981,0.04390000179409981
2025-12-02T13:04:18.466Z,0.24369999766349792,0.22779999673366547,0.02979999966919422,0.02979999966919422
2025-12-02T13:04:18.474Z,0.2847999930381775,0.28369998931884766,0.015200000256299973,0.015200000256299973
2025-12-02T13:04:18.488Z,0.28600001335144043,0.299699991941452,0.00009999999747378752,0.00009999999747378752
2025-12-02T13:04:18.498Z,0.2451999932527542,0.2736000120639801,-0.015300000086426735,-0.015300000086426735
2025-12-02T13:04:18.506Z,0.1662999987602234,0.20900000631809235,-0.030799999833106995,-0.030799999833106995
2025-12-02T13:04:18.519Z,0.058400001376867294,0.11509999632835388,-0.04619999974966049,-0.04619999974966049
2025-12-02T13:04:18.531Z,-0.06509999930858612,0.004999999888241291,-0.061400000005960464,-0.061400000005960464
2025-12-02T13:04:18.544Z,-0.18870000541210175,-0.10580000281333923,-0.07599999755620956,-0.07599999755620956
2025-12-02T13:04:18.551Z,-0.29660001397132874,-0.20180000364780426,-0.08990000188350677,-0.08990000188350677
2025-12-02T13:04:18.564Z,-0.3750999867916107,-0.2694000005722046,-0.10279999673366547,-0.10279999673366547
2025-12-02T13:04:18.607Z,-0.4147999882698059,-0.29910001158714294,-0.1143999993801117,-0.1143999993801117
2025-12-02T13:04:18.612Z,-0.41130000352859497,-0.28679999709129333,-0.12460000067949295,-0.12460000067949295
2025-12-02T13:04:18.612Z,-0.36629998683929443,-0.23409999907016754,-0.13349999487400055,-0.13349999487400055
2025-12-02T13:04:18.612Z,-0.2870999872684479,-0.1485999971628189,-0.14100000262260437,-0.14100000262260437
2025-12-02T13:04:18.618Z,-0.18569999933242798,-0.042100001126527786,-0.14710000157356262,-0.14710000157356262
2025-12-02T13:04:18.629Z,-0.07699999958276749,0.07020000368356705,-0.15189999341964722,-0.15189999341964722
2025-12-02T13:04:18.641Z,0.023399999365210533,0.17270000278949738,-0.15520000457763672,-0.15520000457763672
2025-12-02T13:04:18.650Z,0.10090000182390213,0.250900000333786,-0.15690000355243683,-0.15690000355243683
2025-12-02T13:04:18.662Z,0.1446000039577484,0.2937999963760376,-0.15700000524520874,-0.15700000524520874
2025-12-02T13:04:18.674Z,0.14839999377727509,0.2955000102519989,-0.15549999475479126,-0.15549999475479126
2025-12-02T13:04:18.682Z,0.11219999939203262,0.2556000053882599,-0.1527000069618225,-0.1527000069618225
2025-12-02T13:04:18.695Z,0.0414000004529953,0.17980000376701355,-0.148499995470047,-0.148499995470047
2025-12-02T13:04:18.707Z,-0.053300000727176666,0.0786999985575676,-0.14309999346733093,-0.14309999346733093
2025-12-02T13:04:18.719Z,-0.15780000388622284,-0.03350000083446503,-0.13650000095367432,-0.13650000095367432
2025-12-02T13:04:18.729Z,-0.2563000023365021,-0.14090000092983246,-0.12860000133514404,-0.12860000133514404
2025-12-02T13:04:18.740Z,-0.33390000462532043,-0.22849999368190765,-0.11949999630451202,-0.11949999630451202
2025-12-02T13:04:18.752Z,-0.3783999979496002,-0.2840000092983246,-0.10899999737739563,-0.10899999737739563
2025-12-02T13:04:18.760Z,-0.382099986076355,-0.2996000051498413,-0.09730000048875809,-0.09730000048875809
2025-12-02T13:04:18.772Z,-0.34279999136924744,-0.27309998869895935,-0.08449999988079071,-0.08449999988079071
2025-12-02T13:04:18.785Z,-0.26440000534057617,-0.20819999277591705,-0.07079999893903732,-0.07079999893903732
2025-12-02T13:04:18.793Z,-0.15629999339580536,-0.11400000005960464,-0.05640000104904175,-0.05640000104904175
2025-12-02T13:04:18.805Z,-0.031700000166893005,-0.003800000064074993,-0.04149999842047691,-0.04149999842047691
2025-12-02T13:04:18.817Z,0.09380000084638596,0.10689999908208847,-0.026200000196695328,-0.026200000196695328
2025-12-02T13:04:18.827Z,0.20260000228881836,0.20260000228881836,-0.012299999594688416,-0.012299999594688416
2025-12-02T13:04:18.838Z,0.26989999413490295,0.26989999413490295,-0.011300000362098217,-0.011300000362098217
2025-12-02T13:04:18.850Z,0.29919999837875366,0.29919999837875366,-0.008899999782443047,-0.008899999782443047
2025-12-02T13:04:18.859Z,0.2863999903202057,0.2863999903202057,-0.005499999970197678,-0.005499999970197678
2025-12-02T13:04:18.871Z,0.23340000212192535,0.23340000212192535,-0.0017999999690800905,-0.0017999999690800905
2025-12-02T13:04:18.883Z,0.147599995136261,0.147599995136261,0.0019000000320374966,0.0019000000320374966
2025-12-02T13:04:18.891Z,0.04100000113248825,0.04100000113248825,0.004900000058114529,0.004900000058114529
2025-12-02T13:04:18.904Z,-0.07129999995231628,-0.07129999995231628,0.006899999920278788,0.006899999920278788
2025-12-02T13:04:18.935Z,-0.1736000031232834,-0.1736000031232834,0.007899999618530273,0.007899999618530273
2025-12-02T13:04:18.935Z,-0.2515000104904175,-0.2515000104904175,0.007600000128149986,0.007600000128149986
2025-12-02T13:04:18.938Z,-0.29409998655319214,-0.29409998655319214,0.006399999838322401,0.006399999838322401
2025-12-02T13:04:18.949Z,-0.2953000068664551,-0.2953000068664551,0.0044999998062849045,0.0044999998062849045
2025-12-02T13:04:18.961Z,-0.2549999952316284,-0.2549999952316284,0.002099999925121665,0.002099999925121665
2025-12-02T13:04:18.969Z,-0.17880000174045563,-0.17880000174045563,-0.0003000000142492354,-0.0003000000142492354
2025-12-02T13:04:18.983Z,-0.07760000228881836,-0.07760000228881836,-0.0024999999441206455,-0.0024999999441206455
2025-12-02T13:04:18.994Z,0.03460000082850456,0.03460000082850456,-0.004000000189989805,-0.004000000189989805
2025-12-02T13:04:19.002Z,0.14190000295639038,0.14190000295639038,-0.004900000058114529,-0.004900000058114529
2025-12-02T13:04:19.014Z,0.22930000722408295,0.22930000722408295,-0.005100000184029341,-0.005100000184029341
2025-12-02T13:04:19.026Z,0.28439998626708984,0.28439998626708984,-0.0044999998062849045,-0.0044999998062849045
2025-12-02T13:04:19.035Z,0.2996000051498413,0.2996000051498413,-0.0034000000450760126,-0.0034000000450760126
2025-12-02T13:04:19.047Z,0.272599995136261,0.272599995136261,-0.0020000000949949026,-0.0020000000949949026
2025-12-02T13:04:19.059Z,0.20739999413490295,0.20739999413490295,-0.00039999998989515007,-0.00039999998989515007
2025-12-02T13:04:19.067Z,0.11289999634027481,0.11289999634027481,0.0010000000474974513,0.0010000000474974513
2025-12-02T13:04:19.080Z,0.0027000000700354576,0.0027000000700354576,0.002300000051036477,0.002300000051036477
2025-12-02T13:04:19.092Z,-0.1080000028014183,-0.1080000028014183,0.003000000026077032,0.003000000026077032
2025-12-02T13:04:19.100Z,-0.20350000262260437,-0.20350000262260437,0.0032999999821186066,0.0032999999821186066
2025-12-02T13:04:19.113Z,-0.2863999903202057,-0.2703999876976013,-0.013000000268220901,-0.013000000268220901
