Timestamp,Señal con ruido,S2,S3,Señal filtrada
2025-12-02T13:09:17.013Z,0.29989999532699585,0.29989999532699585,0.00279999990016222,0.00279999990016222
2025-12-02T13:09:17.025Z,0.28130000829696655,0.28130000829696655,0.002199999988079071,0.002199999988079071
2025-12-02T13:09:17.033Z,0.22310000658035278,0.22310000658035278,0.0013000000035390258,0.0013000000035390258
2025-12-02T13:09:17.047Z,0.13369999825954437,0.13369999825954437,0.00019999999494757503,0.00019999999494757503
2025-12-02T13:09:17.058Z,0.02539999969303608,0.02539999969303608,-0.0008999999845400453,-0.0008999999845400453
2025-12-02T13:09:17.066Z,-0.08640000224113464,-0.08640000224113464,-0.0019000000320374966,-0.0019000000320374966
2025-12-02T13:09:17.140Z,-0.18610000610351562,-0.18610000610351562,-0.0026000000070780516,-0.0026000000070780516
2025-12-02T13:09:17.140Z,-0.2596000134944916,-0.2596000134944916,-0.002899999963119626,-0.002899999963119626
2025-12-02T13:09:17.140Z,-0.29670000076293945,-0.29670000076293945,-0.00279999990016222,-0.00279999990016222
2025-12-02T13:09:17.140Z,-0.2921999990940094,-0.2921999990940094,-0.002400000113993883,-0.002400000113993883
2025-12-02T13:09:17.146Z,-0.24660000205039978,-0.24660000205039978,-0.0015999999595806003,-0.0015999999595806003
2025-12-02T13:09:17.146Z,-0.1662999987602234,-0.1662999987602234,-0.0006000000284984708,-0.0006000000284984708
2025-12-02T13:09:17.146Z,-0.06279999762773514,-0.06279999762773514,0.0005000000237487257,0.0005000000237487257
2025-12-02T13:09:17.156Z,0.04960000142455101,0.04960000142455101,0.001500000013038516,0.001500000013038516
2025-12-02T13:09:17.165Z,0.1550000011920929,0.1550000011920929,0.002300000051036477,0.002300000051036477
2025-12-02T13:09:17.178Z,0.2387000024318695,0.2387000024318695,0.0027000000700354576,0.0027000000700354576
2025-12-02T13:09:17.189Z,0.2888000011444092,0.2888000011444092,0.00279999990016222,0.00279999990016222
2025-12-02T13:09:17.197Z,0.29840001463890076,0.29840001463890076,0.0024999999441206455,0.0024999999441206455
2025-12-02T13:09:17.210Z,0.27459999918937683,0.2660999894142151,0.010300000198185444,0.010300000198185444
2025-12-02T13:09:17.222Z,0.21960000693798065,0.19629999995231628,0.024000000208616257,0.024000000208616257
2025-12-02T13:09:17.234Z,0.13680000603199005,0.09910000115633011,0.037300001829862595,0.037300001829862595
2025-12-02T13:09:17.243Z,0.03970000147819519,-0.01209999993443489,0.05009999871253967,0.05009999871253967
2025-12-02T13:09:17.255Z,-0.05609999969601631,-0.12160000205039978,0.06260000169277191,0.06260000169277191
2025-12-02T13:09:17.267Z,-0.1356000006198883,-0.21400000154972076,0.07479999959468842,0.07479999959468842
2025-12-02T13:09:17.357Z,-0.18569999933242798,-0.27639999985694885,0.08669999986886978,0.08669999986886978
2025-12-02T13:09:17.357Z,-0.19789999723434448,-0.29989999532699585,0.09809999912977219,0.09809999912977219
2025-12-02T13:09:17.357Z,-0.16899999976158142,-0.28139999508857727,0.10909999907016754,0.10909999907016754
2025-12-02T13:09:17.364Z,-0.10170000046491623,-0.2232999950647354,0.11940000206232071,0.11940000206232071
2025-12-02T13:09:17.364Z,-0.00419999985024333,-0.13379999995231628,0.12880000472068787,0.12880000472068787
2025-12-02T13:09:17.364Z,0.11079999804496765,-0.025599999353289604,0.13699999451637268,0.13699999451637268
2025-12-02T13:09:17.364Z,0.2281000018119812,0.08619999885559082,0.14390000700950623,0.14390000700950623
2025-12-02T13:09:17.364Z,0.3319000005722046,0.1859000027179718,0.14920000731945038,0.14920000731945038
2025-12-02T13:09:17.369Z,0.4081999957561493,0.25949999690055847,0.1526000052690506,0.1526000052690506
2025-12-02T13:09:17.374Z,0.4465999901294708,0.29670000076293945,0.15410000085830688,0.15410000085830688
2025-12-02T13:09:17.386Z,0.44190001487731934,0.2921999990940094,0.15360000729560852,0.15360000729560852
