Timestamp,Señal con ruido,Señal filtrada
2025-11-21T00:38:50.179Z,-0.5967000126838684,-0.5928000211715698
2025-11-21T00:38:50.193Z,-0.5454000234603882,-0.5346999764442444
2025-11-21T00:38:50.193Z,-0.5015000104904175,-0.486299991607666
2025-11-21T00:38:50.193Z,-0.4717000126838684,-0.45489999651908875
2025-11-21T00:38:50.198Z,-0.46000000834465027,-0.44440001249313354
2025-11-21T00:38:50.203Z,-0.4683000147342682,-0.4562000036239624
2025-11-21T00:38:50.208Z,-0.4950999915599823,-0.48820000886917114
2025-11-21T00:38:50.213Z,-0.5356000065803528,-0.5343000292778015
2025-11-21T00:38:50.216Z,-0.5839999914169312,-0.5878999829292297
2025-11-21T00:38:50.224Z,-0.6323000192642212,-0.6401000022888184
2025-11-21T00:38:50.227Z,-0.6729000210762024,-0.682699978351593
2025-11-21T00:38:50.251Z,-0.6991999745368958,-0.7092000246047974
2025-11-21T00:38:50.251Z,-0.7074999809265137,-0.7159000039100647
2025-11-21T00:38:50.254Z,-0.6952999830245972,-0.7009000182151794
2025-11-21T00:38:50.254Z,-0.6650000214576721,-0.6672999858856201
2025-11-21T00:38:50.254Z,-0.6205999851226807,-0.619700014591217
2025-11-21T00:38:50.257Z,-0.5684000253677368,-0.5649999976158142
2025-11-21T00:38:50.260Z,-0.5160999894142151,-0.5116999745368958
2025-11-21T00:38:50.265Z,-0.4717000126838684,-0.4674000144004822
2025-11-21T00:38:50.272Z,-0.4408999979496002,-0.43790000677108765
2025-11-21T00:38:50.276Z,-0.42820000648498535,-0.42730000615119934
2025-11-21T00:38:50.281Z,-0.4359999895095825,-0.43720000982284546
2025-11-21T00:38:50.285Z,-0.461899995803833,-0.4648999869823456
2025-11-21T00:38:50.289Z,-0.5015000104904175,-0.505299985408783
2025-11-21T00:38:50.298Z,-0.548799991607666,-0.552299976348877
2025-11-21T00:38:50.301Z,-0.5961999893188477,-0.5982000231742859
2025-11-21T00:38:50.305Z,-0.6362000107765198,-0.6359999775886536
2025-11-21T00:38:50.317Z,-0.6615999937057495,-0.6586999893188477
2025-11-21T00:38:50.318Z,-0.6685000061988831,-0.663100004196167
2025-11-21T00:38:50.322Z,-0.6557999849319458,-0.6488999724388123
2025-11-21T00:38:50.325Z,-0.6244999766349792,-0.6175000071525574
2025-11-21T00:38:50.330Z,-0.5785999894142151,-0.5730000138282776
2025-11-21T00:38:50.334Z,-0.5253999829292297,-0.522599995136261
2025-11-21T00:38:50.342Z,-0.4722000062465668,-0.4733000099658966
2025-11-21T00:38:50.347Z,-0.4262999892234802,-0.4318000078201294
2025-11-21T00:38:50.351Z,-0.3944999873638153,-0.40400001406669617
2025-11-21T00:38:50.354Z,-0.3813000023365021,-0.3935999870300293
2025-11-21T00:38:50.364Z,-0.38769999146461487,-0.4009000062942505
2025-11-21T00:38:50.367Z,-0.41260001063346863,-0.4244999885559082
2025-11-21T00:38:50.370Z,-0.451200008392334,-0.4596000015735626
2025-11-21T00:38:50.375Z,-0.4975999891757965,-0.5006999969482422
2025-11-21T00:38:50.385Z,-0.5435000061988831,-0.5404000282287598
2025-11-21T00:38:50.389Z,-0.5820000171661377,-0.572700023651123
2025-11-21T00:38:50.391Z,-0.6064000129699707,-0.5918999910354614
2025-11-21T00:38:50.401Z,-0.6122999787330627,-0.5946000218391418
2025-11-21T00:38:50.401Z,-0.5985999703407288,-0.5806000232696533
2025-11-21T00:38:50.407Z,-0.5659000277519226,-0.550599992275238
2025-11-21T00:38:50.414Z,-0.5189999938011169,-0.5091999769210815
2025-11-21T00:38:50.417Z,-0.46480000019073486,-0.4625999927520752
2025-11-21T00:38:50.420Z,-0.41019999980926514,-0.4163999855518341
2025-11-21T00:38:50.424Z,-0.36329999566078186,-0.3776000142097473
2025-11-21T00:38:50.434Z,-0.33059999346733093,-0.3513000011444092
2025-11-21T00:38:50.437Z,-0.3158999979496002,-0.3400999903678894
2025-11-21T00:38:50.441Z,-0.3212999999523163,-0.34529998898506165
2025-11-21T00:38:50.444Z,-0.34470000863075256,-0.36469998955726624
2025-11-21T00:38:50.452Z,-0.38280001282691956,-0.3953999876976013
2025-11-21T00:38:50.456Z,-0.427700012922287,-0.43059998750686646
2025-11-21T00:38:50.461Z,-0.47269999980926514,-0.4648999869823456
2025-11-21T00:38:50.466Z,-0.5102999806404114,-0.4927000105381012
2025-11-21T00:38:50.472Z,-0.5336999893188477,-0.5087000131607056
2025-11-21T00:38:50.477Z,-0.5386000275611877,-0.5098000168800354
2025-11-21T00:38:50.482Z,-0.5234000086784363,-0.49540001153945923
2025-11-21T00:38:50.485Z,-0.48969998955726624,-0.4668999910354614
2025-11-21T00:38:50.489Z,-0.44190001487731934,-0.42829999327659607
2025-11-21T00:38:50.503Z,-0.3862000107765198,-0.38440001010894775
2025-11-21T00:38:50.503Z,-0.3310999870300293,-0.3418000042438507
2025-11-21T00:38:50.507Z,-0.2831999957561493,-0.30550000071525574
2025-11-21T00:38:50.510Z,-0.24899999797344208,-0.2797999978065491
2025-11-21T00:38:50.515Z,-0.23340000212192535,-0.26829999685287476
2025-11-21T00:38:50.522Z,-0.2378000020980835,-0.27149999141693115
2025-11-21T00:38:50.526Z,-0.26030001044273376,-0.2874999940395355
2025-11-21T00:38:50.549Z,-0.2969000041484833,-0.3133000135421753
2025-11-21T00:38:50.549Z,-0.34130001068115234,-0.3440000116825104
2025-11-21T00:38:50.551Z,-0.385699987411499,-0.37389999628067017
2025-11-21T00:38:50.551Z,-0.42239999771118164,-0.39739999175071716
2025-11-21T00:38:50.551Z,-0.4447999894618988,-0.41040000319480896
2025-11-21T00:38:50.555Z,-0.4487000107765198,-0.4099000096321106
2025-11-21T00:38:50.559Z,-0.43309998512268066,-0.39590001106262207
2025-11-21T00:38:50.569Z,-0.3984000086784363,-0.36880001425743103
2025-11-21T00:38:50.571Z,-0.350600004196167,-0.3334999978542328
2025-11-21T00:38:50.583Z,-0.29440000653266907,-0.2928999960422516
2025-11-21T00:38:50.583Z,-0.23829999566078186,-0.2531000077724457
2025-11-21T00:38:50.587Z,-0.19040000438690186,-0.21979999542236328
2025-11-21T00:38:50.592Z,-0.15620000660419464,-0.19609999656677246
2025-11-21T00:38:50.597Z,-0.14010000228881836,-0.18459999561309814
2025-11-21T00:38:50.601Z,-0.1445000022649765,-0.18690000474452972
2025-11-21T00:38:50.604Z,-0.16699999570846558,-0.20069999992847443
2025-11-21T00:38:50.616Z,-0.20360000431537628,-0.2232999950647354
2025-11-21T00:38:50.618Z,-0.24799999594688416,-0.25040000677108765
2025-11-21T00:38:50.622Z,-0.29249998927116394,-0.2768000066280365
2025-11-21T00:38:50.624Z,-0.32910001277923584,-0.29739999771118164
2025-11-21T00:38:50.641Z,-0.3521000146865845,-0.3089999854564667
2025-11-21T00:38:50.641Z,-0.3564000129699707,-0.3084999918937683
2025-11-21T00:38:50.641Z,-0.3407999873161316,-0.2953999936580658
2025-11-21T00:38:50.646Z,-0.30709999799728394,-0.27129998803138733
2025-11-21T00:38:50.649Z,-0.25929999351501465,-0.23899999260902405
2025-11-21T00:38:50.657Z,-0.20360000431537628,-0.20229999721050262
2025-11-21T00:38:50.664Z,-0.14839999377727509,-0.16680000722408295
